       Co2_Air   Co2_Top
Step 1:21.5919...165.302
Step 2:21.7564...165.273
Step 3:21.9294...165.243
Step 4:22.1111...165.211
Step 5:22.3019...165.179
Step 6:22.5021...165.145
Step 7:22.7121....165.11
Step 8:22.9323...165.074
Step 9:23.1629...165.037
Step 10:23.4045...164.999
Step 11:23.6575...164.959
Step 12:23.9221...164.918
Step 13:24.199...164.875
Step 14:24.4884...164.831
Step 15:24.791...164.786
Step 16:25.1071...164.739
Step 17:25.4372....164.69
Step 18:25.7819....164.64
Step 19:26.1418...164.588
